Package                      Version
---------------------------- ------------
adblockparser                0.7
aiofiles                     25.1.0
aioquic                      1.2.0
aiosqlite                    0.21.0
ajpy                         0.0.5
altgraph                     0.17.5
aniso8601                    10.0.1
annotated-types              0.7.0
antlr4-python3-runtime       4.9.2
anyio                        4.11.0
argcomplete                  3.6.3
argon2-cffi                  25.1.0
argon2-cffi-bindings         25.1.0
arrow                        1.3.0
asgiref                      3.11.0
asn1crypto                   1.5.1
astroid                      4.0.2
asttokens                    3.0.1
async-timeout                5.0.1
attrs                        25.4.0
autocommand                  2.2.2
Automat                      25.4.16
babel                        2.17.0
bcrypt                       5.0.0
beautifulsoup4               4.14.3
bidict                       0.23.1
binwalk                      2.4.3
blinker                      1.9.0
Brlapi                       0.8.7
Brotli                       1.2.0
cairocffi                    1.7.1
capstone                     5.0.6
certifi                      2026.1.4
certipy-ad                   5.0.4
cffi                         2.0.0
chardet                      5.2.0
charset-normalizer           3.4.4
cheroot                      11.1.2+ds1
CherryPy                     18.10.0
cherrypy-cors                1.6
click                        8.1.8
colorama                     0.4.6
configobj                    5.0.9
constantly                   23.10.4
contourpy                    1.3.3
croniter                     6.0.0
cryptography                 46.0.1
cssselect                    1.4.0
cssselect2                   0.8.0
cupshelpers                  1.0
cycler                       0.12.1
dasbus                       1.7
dbus-python                  1.4.0
decorator                    5.2.1
defusedxml                   0.7.1
Deprecated                   1.3.1
dicttoxml                    1.7.16
distlib                      0.4.0
distro                       1.9.0
distro-info                  1.14
dnslib                       0.9.25
dnspython                    2.7.0
docopt                       0.6.2
docutils                     0.22.4
donut-shellcode              1.1
dropbox                      12.0.2
dsinternals                  1.2.4
email_validator              2.2.0
et_xmlfile                   2.0.0
exceptiongroup               1.2.2
executing                    2.2.1
ExifRead                     3.0.0
fail2ban                     1.1.0
fastapi                      0.118.0
fierce                       1.6.0
filelock                     3.20.3
flasgger                     0.9.7.2.dev2
Flask                        3.1.2
Flask-RESTful                0.3.10
Flask-SocketIO               5.6.0
fonttools                    4.61.1
fqdn                         1.5.1
GDAL                         3.12.1
ghp-import                   2.1.0
graphviz                     0.21
greenlet                     3.2.4
gssapi                       1.10.1
gyp-next                     0.16.2
h11                          0.14.0
h2                           4.3.0
hashID                       3.1.4
hiredis                      2.3.2
hpack                        4.0.0
html5lib-modern              1.2
httpagentparser              1.9.1
httpcore                     1.0.9
httplib2                     0.22.0
httpx                        0.28.1
humanize                     4.12.1
hyperframe                   6.1.0
hyperlink                    21.0.0
idna                         3.10
impacket                     0.14.0.dev0
importlib_metadata           8.7.1
importlib_resources          6.5.2
incremental                  24.7.2
inflect                      7.5.0
iniconfig                    2.1.0
invoke                       2.2.1
ipwhois                      1.3.0
IPy                          1.1
ipython                      8.35.0
isoduration                  20.11.0
itsdangerous                 2.2.0
jaraco.collections           5.1.0
jaraco.context               6.0.1
jaraco.functools             4.1.0
jaraco.text                  4.0.0
jedi                         0.19.1
Jinja2                       3.1.6
joblib                       1.5.2
jq                           1.10.0
jsonpointer                  2.4
jsonschema                   4.25.1
jsonschema-specifications    2023.12.1
jwcrypto                     1.5.6
kaitaistruct                 0.11
kali-tweaks                  2025.4.0
kiwisolver                   1.4.10rc0
lazr.restfulclient           0.14.6
lazr.uri                     1.0.6
ldap3                        2.9.1
ldapdomaindump               0.9.4
legacy-cgi                   2.6.4
legacycrypt                  0.3
libevdev                     0.13.1
libpass                      1.9.3
linkify-it-py                2.0.3
livereload                   2.7.1
loguru                       0.7.3
louis                        3.36.0
lunr                         0.8.0
lxml                         6.0.2
lz4                          4.4.5+dfsg
macholib                     1.16.4
Mako                         1.3.10.dev0
Markdown                     3.10.1
markdown-it-py               3.0.0
markdown2                    2.5.4
Markups                      4.1.1
MarkupSafe                   3.0.3
matplotlib                   3.10.7+dfsg1
matplotlib-inline            0.2.1
md2pdf                       1.0.1
mdurl                        0.1.2
mechanize                    0.4.10
mergedeep                    1.3.4
mistune                      3.1.4
mitmproxy                    12.2.1
mkdocs                       1.6.1
mkdocs-get-deps              0.2.0
more-itertools               10.8.0
mpmath                       1.3.0
msgpack                      1.1.2
mysqlclient                  1.4.6
nassl                        5.3.1
netaddr                      1.3.0
netifaces                    0.11.0
networkx                     3.4.2
nh3                          0.3.2
nltk                         3.9.1
numpy                        2.3.5
oauthlib                     3.3.1
objgraph                     3.6.2
olefile                      0.47
openpyxl                     3.1.5
outcome                      1.2.0
packaging                    25.0
paramiko                     4.0.0
parso                        0.8.5
Paste                        3.10.1
PasteDeploy                  3.1.0
PasteScript                  3.7.0
patator                      1.0
pathspec                     0.12.1
pcapy                        0.11.5.dev0
pefile                       2024.8.26
pexpect                      4.9.0
phonenumbers                 8.12.57
pillow                       12.0.0
pip                          26.0.1
pipx                         1.8.0
platformdirs                 4.5.1
pluggy                       1.6.0
pluginbase                   1.0.1
ply                          3.11
pooch                        1.9.0
portend                      3.2.0
prettytable                  3.16.0
prompt_toolkit               3.0.52
psutil                       7.1.0
psycopg2                     2.9.11
ptyprocess                   0.7.0
publicsuffix2                2.20191221
publicsuffixlist             0.9.3
pure_eval                    0.2.3
pyasn1                       0.6.2
pyasn1_modules               0.4.1
pyasyncore                   1.0.2
pycairo                      1.27.0
pycparser                    3.0
pycryptodomex                3.20.0
pycups                       2.0.4
pycurl                       7.45.7
pydantic                     2.12.5
pydantic_core                2.41.5
pydantic-settings            2.12.0
PyDispatcher                 2.0.7
pydot                        4.0.1
pydyf                        0.12.1
pyenchant                    3.3.0
pygame                       2.6.1
pygexf                       0.2.2
Pygments                     2.19.2
PyGObject                    3.54.5
pygraphviz                   1.14
PyHamcrest                   2.1.0
pyinotify                    0.9.6
pyinstaller                  6.18.0
pyinstaller-hooks-contrib    2025.9
PyJWT                        2.10.1
pylsqpack                    0.3.23
pymssql                      2.3.10
PyMySQL                      1.1.1
PyNaCl                       1.5.0
pynvim                       0.6.0
pyOpenSSL                    25.3.0
pypandoc                     1.15
pyparsing                    3.1.3
pypdf                        5.4.0
pyperclip                    1.11.0
pyphen                       0.16.0
PyQt5                        5.15.11
PyQt5_sip                    12.17.2
PyQt6                        6.10.2
PyQt6_sip                    13.11.0
PyQt6-WebEngine              6.10.0
pyqtgraph                    0.14.0
PySecretSOCKS                0.9.1
pyserial                     3.5
pysnmp                       7.1.21
PySocks                      1.7.1
pytest                       9.0.2
python-apt                   3.1.0
python-dateutil              2.9.0
python-docx                  1.2.0
python-dotenv                1.0.1
python-engineio              4.13.0
python-magic                 0.4.27
python-markdown-math         0.9
python-multipart             0.0.20
python-obfuscator            0.0.2
python-pam                   2.0.2
python-pptx                  0.6.18
python-socketio              5.16.0
python-whois                 0.9.3
pytz                         2025.2
pyudev                       0.24.3
pyVNC                        0.1
pyxdg                        0.28
PyYAML                       6.0.3
pyyaml_env_tag               1.1
pyzipper                     0.3.6
qrcode                       8.2
redis                        6.4.0
referencing                  0.36.2
regex                        2025.9.18
repoze.lru                   0.7
requests                     2.32.5
requests-file                3.0.1
rfc3339-validator            0.1.4
rfc3986-validator            0.1.1
rfc3987                      1.3.8
rich                         13.9.4
roman-numerals               4.1.0
Routes                       2.5.1
rpds-py                      0.28.0
rq                           2.6.1
ruamel.yaml                  0.18.10
ruamel.yaml.clib             0.2.15
scapy                        2.7.1
scipy                        1.16.3
secure                       0.3.0
service-identity             24.2.0
setproctitle                 1.3.7
setuptools                   78.1.1
simple-websocket             1.1.0
simplejson                   3.20.1
six                          1.17.0
smbmap                       1.10.7
sniffio                      1.3.1
sortedcontainers             2.4.0
soupsieve                    2.8.3
speedtest-cli                2.1.3
SQLAlchemy                   2.0.45
SQLAlchemy-Utc               0.14.0
sslyze                       6.3.0
stack_data                   0.6.3
starlette                    0.50.0
stix2                        3.0.1
stix2-patterns               2.0.0
stone                        3.3.9
sympy                        1.14.0
systemd-python               235
tabulate                     0.9.0
telnetlib                    0.0.0
Tempita                      0.6.0
tempora                      5.7.0
termcolor                    2.4.0
terminaltables               3.1.10
terminator                   2.1.5
textile                      4.0.3
tinycss2                     1.5.1
tls-parser                   1.2.2
tomli                        2.4.0
tornado                      6.5.4
tqdm                         4.67.1
traitlets                    5.14.3
trio                         0.32.0
Twisted                      25.5.0
typeguard                    4.4.4
types-aiofiles               25.1
types-antlr4-python3-runtime 4.13
types-assertpy               1.1
types-atheris                3.0
types-auth0-python           4.10
types-Authlib                1.6.6
types-aws-xray-sdk           2.15
types-binaryornot            0.4
types-bleach                 6.3
types-boltons                25.0
types-braintree              4.42
types-cachetools             6.2
types-capturer               3.0
types-cffi                   1.17
types-channels               4.3
types-chevron                0.14
types-click-default-group    1.2
types-click-log              0.4
types-click-shell            2.1
types-click-spinner          0.1
types-click-web              0.8
types-colorama               0.4
types-colorful               0.5
types-console-menu           0.8
types-convertdate            2.4
types-croniter               6.0.0
types-dateparser             1.2.2
types-decorator              5.2
types-defusedxml             0.7
types-Deprecated             1.3.1
types-dirhash                0.5
types-django-filter          25.2
types-django-import-export   4.4
types-docker                 7.1
types-dockerfile-parse       2.0
types-docutils               0.22.3
types-editdistance           0.8
types-entrypoints            0.4
types-ephem                  4.2
types-et_xmlfile             2.0
types-fanstatic              1.6
types-first                  2.0
types-flake8                 7.3
types-flake8-bugbear         25.11.29
types-flake8-builtins        3.1
types-flake8-docstrings      1.7
types-flake8-rst-docstrings  0.4
types-flake8-simplify        0.30
types-flake8-typing-imports  1.17
types-Flask-Cors             6.0
types-Flask-Migrate          4.1
types-Flask-SocketIO         5.6
types-fpdf2                  2.8.4
types-gdb                    16.3
types-geopandas              1.1.2
types-gevent                 25.9
types-google-cloud-ndb       2.4
types-greenlet               3.3
types-grpcio                 1
types-grpcio-channelz        1
types-grpcio-health-checking 1
types-grpcio-reflection      1
types-grpcio-status          1
types-gunicorn               25.0
types-hdbcli                 2.25
types-hnswlib                0.8
types-html5lib               1.1
types-httplib2               0.31.2
types-hvac                   2.4
types-ibm-db                 3.2.6
types-icalendar              6.3.2
types-inifile                0.4
types-JACK-Client            0.5
types-Jetson.GPIO            2.1.12
types-jmespath               1.1
types-jsonnet                0.21
types-jsonschema             4.26.0
types-jwcrypto               1.5
types-keyboard               0.13
types-ldap3                  2.9
types-libsass                0.23
types-lunardate              0.2
types-lupa                   2.6
types-lzstring               1.0
types-m3u8                   6.0
types-Markdown               3.10
types-mock                   5.2
types-mypy-extensions        1.1
types-mysqlclient            2.2
types-nanoid                 2.0.0
types-nanoleafapi            2.1
types-netaddr                1.3
types-netifaces              0.11
types-networkx               3.6.1
types-oauthlib               3.3
types-objgraph               3.6
types-olefile                0.47
types-openpyxl               3.1.5
types-opentracing            2.4
types-paramiko               4.0
types-parsimonious           0.11
types-passlib                1.7
types-passpy                 1.0
types-peewee                 3.19.0
types-pep8-naming            0.15
types-pexpect                4.9
types-pika-ts                1.3
types-polib                  1.2
types-pony                   0.7
types-portpicker             1.6
types-protobuf               6.32.1
types-psutil                 7.2.2
types-psycopg2               2.9.11
types-punq                   0.7
types-pyasn1                 0.6
types-pyaudio                0.2
types-PyAutoGUI              0.9
types-pycocotools            2.0
types-pycurl                 7.45.7
types-pyfarmhash             0.4
types-pyflakes               3.4
types-Pygments               2.19
types-pyinstaller            6.18
types-pyjks                  20.0
types-pyluach                2.3
types-PyMeeus                0.5
types-PyMySQL                1.1
types-pynput                 1.8.1
types-pyperclip              1.9
types-pyRFC3339              2.0.1
types-PyScreeze              1.0.1
types-pyserial               3.5
types-pysftp                 0.2
types-PySocks                1.7.1
types-pytest-lazy-fixture    0.6
types-python-crontab         3.3
types-python-dateutil        2.9
types-python-http-client     3.3.7
types-python-jenkins         1.8.3
types-python-jose            3.5
types-python-nmap            0.7
types-python-xlib            0.33
types-pytz                   2025.2
types-pywin32                311
types-pyxdg                  0.28
